PROPERTY VALUE,ONTOLOGY TERM LABEL(S),CONFIDENCE,ONTOLOGY TERM(S)
Other noninflammatory disorders of vagina,psoriasis,Medium,EFO_0000676
Other noninflammatory disorders of vulva and perineum,N/A,Did not map,N/A
Other disorders of penis,psoriasis,Medium,EFO_0000676
Other disorders of penis,glaucoma,Medium,EFO_0000516
"Torsion of ovary, ovarian pedicle and fallobian tube",N/A,Did not map,N/A
Ovarian cyst,simple cystadenoma,Good,EFO_0002511
"Redundant prepuce, phimosis and paraphimosis",N/A,Did not map,N/A
Polyp of the female genital tract,female genital tract polyp,Medium,EFO_0008622
Polyp of the female genital tract,fibroepithelial polyp of urethra,Medium,EFO_1000700
Postmenopausal atrophic vaginitsi,postmenopausal,Good,EFO_0002721
Postmenopausal bleeding,postmenopausal,Medium,EFO_0002721
Postmenopausal bleeding,postmenopausal osteoporosis,Medium,EFO_0003854
Prolapse and hernia of ovary and fallopian tube,N/A,Did not map,N/A
Other disorders of prostate,glaucoma,Medium,EFO_0000516
Other disorders of prostate,psoriasis,Medium,EFO_0000676
Inflammatory diseases of prostate (prostatitis),prostatitis,Medium,EFO_0003830
Inflammatory diseases of prostate (prostatitis),inflammatory skin disease,Medium,EFO_1000636
Hyperplasia of prostate,benign prostatic hyperplasia,Good,EFO_0000284
Acute tubulo-interstitial nephritis,interstitial nephritis,Medium,MONDO_0001085
Acute tubulo-interstitial nephritis,Karyomegalic interstitial nephritis,Medium,Orphanet_401996
Recurrent and persistent haematuria,N/A,Did not map,N/A
Renal tubulo-intestitial diseases,Cystic Kidney Disease,Good,EFO_0008615
Other renal tubulo-interstitial diseases,Cystic Kidney Disease,Good,EFO_0008615
Renal failure,kidney failure,Good,EFO_1002048
Unspesified kidney failure,kidney failure,Good,EFO_1002048
Salphingitis and oophoritis,N/A,Did not map,N/A
Spermatocele,spermatocele,Good,EFO_1001189
Torsion of testis,testis,Medium,UBERON_0000473
Torsion of testis,neoplasm of testis,Medium,MONDO_0021348
"Tubulo-interstitial nephritis, not spesified as acute or chronic",interstitial nephritis,Medium,MONDO_0001085
"Tubulo-interstitial nephritis, not spesified as acute or chronic",Chronic tubulointerstitial nephritis,Medium,HP_0004743
Ulcer of vagina/vulva,chronic ulcer of skin,Good,EFO_0007066
Urethral stricture,Urethral stricture,Good,HP_0012227
Other disorders of urethra and urinary system,fibroepithelial polyp of urethra,Good,EFO_1000700
Urehtritis and urethral syndrome,N/A,Did not map,N/A
Other diseases of urinary system,digestive system disease,Medium,EFO_0000405
Other diseases of urinary system,respiratory system disease,Medium,EFO_0000684
Urolithiasis,urolithiasis,Good,MONDO_0024647
Vaginitis/vulvovaginitis/vulvitis/abscess of vulva,vulvitis,Medium,EFO_1001239
Vaginitis/vulvovaginitis/vulvitis/abscess of vulva,vulva sarcoma,Medium,EFO_0002920
Vulvovaginal ulceration/inflammation in other diseases,respiratory system disease,Medium,EFO_0000684
Vulvovaginal ulceration/inflammation in other diseases,cardiomyopathy,Medium,EFO_0000318
Nonalcoholic fatty liver disease,non-alcoholic fatty liver disease,Good,EFO_0003095
Other necrotizing vasculopathies (FG),necrotizing sialometaplasia,Good,EFO_1001057
Other degenerative diseases of the nervous system,neurodegenerative disease,Good,EFO_0005772
Non-invasive ventilation,invasive mechanical ventilation,Medium,EFO_0010720
Non-invasive ventilation,maximal voluntary ventilation,Medium,EFO_0008431
Non-allergic asthma (mode),atopic asthma,Good,EFO_0010638
Non-allergic asthma (mode) (more controls excluded),atopic asthma,Good,EFO_0010638
Failed attempted abortion,attempted suicide,Medium,EFO_0004321
Failed attempted abortion,abortion,Medium,EFO_1001491
Medical abortion,abortion,Medium,EFO_1001491
Medical abortion,incomplete abortion,Medium,EFO_1001799
Spontaneous abortion,spontaneous abortion,Good,EFO_1001255
Unspecified abortion,habitual abortion,Medium,EFO_1000954
Unspecified abortion,abortion,Medium,EFO_1001491
Other disorders of amniotic fluid and membranes,N/A,Did not map,N/A
Abnormal findings on antenatal screening of mother,Abnormality of the cerebrospinal fluid,Medium,HP_0002921
Abnormal findings on antenatal screening of mother,congenital enterovirus infection,Medium,MONDO_0017375
"Antepartum haemorrhage, not elsewhere classified",respiratory system disease,Good,EFO_0000684
Infections of breast associated with childbirth,Susceptibility to respiratory infections associated with CD8alpha chain mutation,Medium,Orphanet_169085
Infections of breast associated with childbirth,Recurrent infections associated with rare immunoglobulin isotypes deficiency,Medium,Orphanet_183675
Other disorders of breast and lactation associated with childbirth,N/A,Did not map,N/A
Complications following abortion and ectopic and molar pregnancy,N/A,Did not map,N/A
Complications of labour and delivery,N/A,Did not map,N/A
Complications predominantly related to the puerperium,AIDS-related disease,Good,EFO_0009528
Other abnormal products of conception,Abnormal hair pattern,Medium,HP_0010720
Other abnormal products of conception,Disorder of other vitamins and cofactors metabolism and transport,Medium,Orphanet_309833
Delivery,Abnormal delivery,Medium,HP_0001787
Delivery,Forceps delivery,Medium,HP_0011411
Single delivery by caesarean section,cesarean section,Good,EFO_0009636
Single delivery by forceps and vacuum extractor,N/A,Did not map,N/A
Multiple delivery,Abnormal delivery,Medium,HP_0001787
Multiple delivery,Forceps delivery,Medium,HP_0011411
Other assisted single delivery,Ventouse delivery,Medium,HP_0011412
Other assisted single delivery,Abnormal delivery,Medium,HP_0001787
Perineal laceration during delivery,perineal laceration during delivery,Good,EFO_0009816
Single spontaneous delivery,Abnormal delivery,Medium,HP_0001787
Single spontaneous delivery,Pathologic fracture,Medium,HP_0002756
Excessive vomiting in pregnancy,nausea and vomiting of pregnancy severity measurement,Good,EFO_0009265
"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",N/A,Did not map,N/A
Failed induction of labour,Braxton-Hicks contractions,Medium,EFO_0009639
Failed induction of labour,SCIM,Medium,EFO_0007030
False labour,Braxton-Hicks contractions,Good,EFO_0009639
Gestational [pregnancy-induced] hypertension,preeclampsia,Good,EFO_0000668
Gestational [pregnancy-induced] oedema and proteinuria without hypertension,preeclampsia,Good,EFO_0000668
Haemorrhage in early pregnancy,Death in early adulthood,Medium,HP_0100613
Haemorrhage in early pregnancy,Pseudohyperaldosteronism type 2,Medium,Orphanet_88660
Pregnancy hypertension,preeclampsia,Good,EFO_0000668
Intrahepatic Cholestasis of Pregnancy (ICP),Intrahepatic cholestasis of pregnancy,Good,EFO_0009048
Abnormalities of forces of labour,Abnormality of the adrenal glands,Medium,HP_0000834
Abnormalities of forces of labour,Abnormality of finger,Medium,HP_0001167
Labour and delivery complicated by fetal stress [distress],Braxton-Hicks contractions,Good,EFO_0009639
"Labour and delivery complicated by intrapartum haemorrhage, not elsewhere classified",N/A,Did not map,N/A
Long labour,Braxton-Hicks contractions,Good,EFO_0009639
Obstructed labour due to malposition and malpresentation of fetus,N/A,Did not map,N/A
Other obstructed labour,Braxton-Hicks contractions,Good,EFO_0009639
"Other complications of labour and delivery, not elsewhere classified",N/A,Did not map,N/A
Obstructed labour due to maternal pelvic abnormality,Angelman syndrome due to maternal 15q11q13 deletion,Medium,Orphanet_98794
Obstructed labour due to maternal pelvic abnormality,Silver-Russell syndrome due to maternal uniparental disomy of chromosome 11,Medium,Orphanet_231147
Labour and delivery complicated by umbilical cord complications,N/A,Did not map,N/A
Maternal care related to the fetus and amniotic cavity and possible delivery problems,N/A,Did not map,N/A
Maternal care for known or suspected disproportion,congenital fiber-type disproportion,Medium,MONDO_0000865
Maternal care for known or suspected disproportion,Congenital fiber-type disproportion myopathy,Medium,Orphanet_2020
Maternal care for known or suspected fetal abnormality and damage,N/A,Did not map,N/A
Maternal care for other known or suspected fetal problems,fetomaternal transfusion,Good,EFO_1001794
Maternal care for known or suspected abnormality of pelvic organs,pelvic lipomatosis,Good,EFO_1000748
Unspecified maternal hypertension,hypertension,Medium,EFO_0000537
Unspecified maternal hypertension,preeclampsia,Medium,EFO_0000668
"Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and  the puerperium",N/A,Did not map,N/A
Maternal care for known or suspected malpresentation of fetus,Uniparental disomy of maternal origin,Medium,Orphanet_98153
Maternal care for known or suspected malpresentation of fetus,Maternal uniparental disomy of chromosome 20,Medium,Orphanet_96186
Premature rupture of membranes,Premature rupture of membranes,Good,HP_0001788
Multiple gestation,multiple gestation,Good,EFO_0009576
"Other obstetric conditions, not elsewhere classified",respiratory system disease,Medium,EFO_0000684
"Other obstetric conditions, not elsewhere classified",cardiomyopathy,Medium,EFO_0000318
Other obstetric trauma,"Paralysis, Obstetric",Medium,EFO_1001385
Other obstetric trauma,trauma exposure measurement,Medium,EFO_0010703
"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium",N/A,Did not map,N/A
"Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium",N/A,Did not map,N/A
Placenta praevia,placenta praevia,Good,EFO_0007442
Premature separation of placenta [abruptio placentae],Abruptio Placentae,Medium,EFO_1001754
Premature separation of placenta [abruptio placentae],premature chromatid separation trait,Medium,EFO_0009077
Polyhydramnios,Polyhydramnios,Good,HP_0001561
Postpartum haemorrhage,postpartum hemorrhage,Good,EFO_0009579
Pre-eclampsia,preeclampsia,Good,EFO_0000668
Pregnancy with abortive outcome,pregnancy,Good,EFO_0002950
"Pregnancy, childbirth and the puerperium",N/A,Did not map,N/A
Diabetes mellitus in pregnancy,gestational diabetes,Good,EFO_0004593
Ectopic pregnancy,Ectopic pregnancy,Good,HP_0031456
Infections of genitourinary tract in pregnancy,autoimmune disease of urogenital tract,Medium,MONDO_0000601
Infections of genitourinary tract in pregnancy,Recurrent infection of the gastrointestinal tract,Medium,HP_0004798
Hydatidiform mole,Hydatidiform Mole,Good,EFO_1000298
Maternal care for other conditions predominantly related to pregnancy,pregnancy induced alloimmunization,Good,EFO_0008462
Other maternal disorders predominantly related to pregnancy,pregnancy induced alloimmunization,Good,EFO_0008462
Prolonged pregnancy,post term pregnancy,Good,EFO_0009681
Venous complications and haemorrhoids in pregnancy,N/A,Did not map,N/A
Preterm labour and delivery,N/A,Did not map,N/A
Pre-eclampsia or eclampsia,Eclampsia,Medium,HP_0100601
Pre-eclampsia or eclampsia,severe pre-eclampsia,Medium,MONDO_0001641
"Complications of the puerperium, not elsewhere classified",cardiovascular disease,Medium,EFO_0000319
"Complications of the puerperium, not elsewhere classified",respiratory system disease,Medium,EFO_0000684
Other puerperal infections,Puerperal Infection,Medium,EFO_1001407
Other puerperal infections,puerperal disorder,Medium,EFO_0009683
Puerperal sepsis,Puerperal Infection,Good,EFO_1001407
"Retained placenta and membranes, without haemorrhage",N/A,Did not map,N/A
"Alcohol related diseases, tilastokeskus definition",Alpha-thalassemia-related diseases,Medium,Orphanet_232288
"Alcohol related diseases, tilastokeskus definition",Beta-thalassemia and related diseases,Medium,Orphanet_275749
"Alcohol related diseases, tilastokeskus definition, death only",Alpha-thalassemia-related diseases,Medium,Orphanet_232288
"Alcohol related diseases, tilastokeskus definition, death only",Beta-thalassemia and related diseases,Medium,Orphanet_275749
Colectomy operation,ileostomy,Medium,EFO_0010681
Colectomy operation,ophthalmic procedure,Medium,EFO_0010722
Total colectomy operation,ileostomy,Medium,EFO_0010681
Total colectomy operation,ophthalmic procedure,Medium,EFO_0010722
Osteoporosis with pathological fracture (FG),X-linked osteoporosis with fractures,Medium,Orphanet_391330
Osteoporosis with pathological fracture (FG),Dominant hypophosphatemia with nephrolithiasis or osteoporosis,Medium,Orphanet_244305
Drug-induced osteoporosis with pathological fracture,X-linked osteoporosis with fractures,Medium,Orphanet_391330
Drug-induced osteoporosis with pathological fracture,Dominant hypophosphatemia with nephrolithiasis or osteoporosis,Medium,Orphanet_244305
Postmenopausal osteoporosis with pathological fracture,postmenopausal osteoporosis,Good,EFO_0003854
Other ILD-related CVD-co-morbidities,cardiovascular disease,Good,EFO_0000319
Other systemic involvement of connective tissue (FG),Malformation syndrome with connective tissue involvement,Medium,Orphanet_139030
Other systemic involvement of connective tissue (FG),autoimmune disease with skin involvement,Medium,MONDO_0017841
"Disorders related to short gestation and low birth weight, not elsewhere classified",N/A,Did not map,N/A
Disorders related to length of gestation and fetal growth,N/A,Did not map,N/A
Haemorrhagic and haematological disorders of fetus and newborn,N/A,Did not map,N/A
Respiratory and cardiovascular disorders specific to the perinatal period,N/A,Did not map,N/A
Respiratory distress of newborn,newborn respiratory distress syndrome,Medium,EFO_1000644
Respiratory distress of newborn,acute respiratory distress syndrome,Medium,EFO_1000637
"Pain (limb, back, neck, head abdominally)",Back pain,Medium,HP_0003418
"Pain (limb, back, neck, head abdominally)",Neck pain,Medium,HP_0030833
Secondary parkinsonism,secondary Parkinson disease,Good,EFO_1001175
Secondary parkinsonism (more controls excluded),secondary Parkinson disease,Good,EFO_1001175
"Parkinson's disease, strict definition",Parkinson's disease,Good,EFO_0002508
"Parkinson's disease, strict definition (more controls excluded)",Parkinson's disease,Good,EFO_0002508
Dementia due to Parkinsons disease,dementia (disease),Medium,MONDO_0001627
Dementia due to Parkinsons disease,filariasis,Medium,MONDO_0016075
Dementia due to Parkinsons disease (more controls excluded),dementia (disease),Medium,MONDO_0001627
Dementia due to Parkinsons disease (more controls excluded),filariasis,Medium,MONDO_0016075
Bacterial pneumonia (organism specified),pneumonia,Medium,EFO_0003106
Bacterial pneumonia (organism specified),bacterial pneumonia,Medium,EFO_1001272
Pneumonias (Asthma/COPD co-morbidities),asthma,Good,EFO_0000270
Pneumococcal septichemia,pneumococcal pneumonia,Medium,EFO_1001474
Pneumococcal septichemia,pneumococcal bacteremia,Medium,EFO_1001925
Pollen allergy,seasonal allergic rhinitis,Good,EFO_0003956
Polycythaemia vera,polycythemia vera,Good,EFO_0002429
"Primary coxarthrosis, bilateral",Bilateral striopallidodentate calcinosis,Medium,Orphanet_1980
"Primary coxarthrosis, bilateral",Familial primary hypomagnesemia with hypercalciuria and nephrocalcinosis with severe ocular involvement,Medium,Orphanet_2196
"Primary gonarthrosis, bilateral",Bilateral striopallidodentate calcinosis,Medium,Orphanet_1980
"Primary gonarthrosis, bilateral",Familial primary hypomagnesemia with hypercalciuria and nephrocalcinosis with severe ocular involvement,Medium,Orphanet_2196
"Psoriasis (vulgaris), strict definition",psoriasis vulgaris,Medium,EFO_1001494
"Psoriasis (vulgaris), strict definition",psoriasis,Medium,EFO_0000676
Other psoriatic arthropathies,psoriatic arthritis,Good,EFO_0003778
Psoriatic and enteropathic arthropathies,N/A,Did not map,N/A
Immune disease comorbidities,immune deficiency disease,Medium,MONDO_0009453
Immune disease comorbidities,Immune dysregulation disease with immunodeficiency,Medium,Orphanet_169361
COPD/asthma/ILD related infections,Prosthesis-Related Infections,Good,EFO_1001406
Medication related adverse effects (Asthma/COPD),medication adherence behavior,Medium,EFO_0006344
Medication related adverse effects (Asthma/COPD),asthma,Medium,EFO_0000270
COPD/asthma/ILD related pneumonia or pneumonia derived septichaemia,pneumonia,Medium,EFO_0003106
COPD/asthma/ILD related pneumonia or pneumonia derived septichaemia,viral pneumonia,Medium,EFO_0007541
Psychiatric comorbidites (Asthma/COPD),asthma,Good,EFO_0000270
"Chromosomal abnormalities, not elsewhere classified",respiratory system disease,Medium,EFO_0000684
"Chromosomal abnormalities, not elsewhere classified",cardiomyopathy,Medium,EFO_0000318
Cleft lip and cleft palate,Cleft lip/palate - ectodermal dysplasia,Medium,Orphanet_320317
Cleft lip and cleft palate,Thomas syndrome,Medium,Orphanet_3316
Congenital deformities of feet,Congenital deformities of limbs,Medium,Orphanet_294944
Congenital deformities of feet,Congenital deformities of fingers,Medium,Orphanet_294947
Congenital deformities of hip,Congenital deformities of limbs,Medium,Orphanet_294944
Congenital deformities of hip,Congenital deformities of fingers,Medium,Orphanet_294947
Congenital malformations of aortic and mitral valves,N/A,Did not map,N/A
Congenital malformations of breast,isolated congenital breast hypoplasia/aplasia,Medium,MONDO_0015855
Congenital malformations of breast,Breast aplasia,Medium,HP_0100783
Congenital malformations of cardiac septa,Abnormal cardiac septum morphology,Medium,HP_0001671
Congenital malformations of cardiac septa,Rare syndrome with cardiac malformations,Medium,Orphanet_156532
Congenital malformations of the circulatory system,congenital anomaly of cardiovascular system,Medium,MONDO_0024239
Congenital malformations of the circulatory system,Abnormality of cardiovascular system morphology,Medium,HP_0030680
Congenital malformations and deformations of the musculoskeletal system,N/A,Did not map,N/A
"Congenital malformations of eye, ear, face and neck",cutaneous melanoma,Medium,EFO_0000389
"Congenital malformations of eye, ear, face and neck",Langerhans Cell Histiocytosis,Medium,EFO_1000318
Congenital malformations of genital organs,female genital tract polyp,Good,EFO_0008622
Congenital malformations of great arteries,Congenital anomaly of the great arteries,Medium,Orphanet_98724
Congenital malformations of great arteries,transposition of the great arteries,Medium,MONDO_0000153
"Congenital malformations of the musculoskeletal system, not elsewhere classified",respiratory system disease,Medium,EFO_0000684
"Congenital malformations of the musculoskeletal system, not elsewhere classified",immune system disease,Medium,EFO_0000540
Congenital malformations of the nervous system,congenital nervous system disorder,Medium,MONDO_0002320
Congenital malformations of the nervous system,infectious disease of the nervous system,Medium,MONDO_0020010
"Congenital malformations of ovaries, fallopian tubes and broad ligaments",N/A,Did not map,N/A
Congenital malformations of the respiratory system,Abnormality of the respiratory system,Medium,HP_0002086
Congenital malformations of the respiratory system,Abnormality of cardiovascular system morphology,Medium,HP_0030680
Congenital malformations of the urinary system,Abnormality of the urinary system,Medium,HP_0000079
Congenital malformations of the urinary system,urinary system neoplasm,Medium,MONDO_0021066
Congenital malformations of uterus and cervix,cervical carcinoma,Good,EFO_0001061
"Congenital musculoskeletal deformities of head, face, spine and chest",N/A,Did not map,N/A
Congenital obstructive defects of renal pelvis and congenital malformations of ureter,"Phocomelia, Schinzel type",Good,Orphanet_2879
Cystic kidney disease,Cystic Kidney Disease,Good,EFO_0008615
Other congenital malformations,complex cortical dysplasia with other brain malformations,Medium,MONDO_0000904
Other congenital malformations,congenital heart defects and skeletal malformations syndrome,Medium,MONDO_0060532
Other congenital malformations of circulatory system,congenital anomaly of cardiovascular system,Medium,MONDO_0024239
Other congenital malformations of circulatory system,Abnormality of cardiovascular system morphology,Medium,HP_0030680
Other congenital malformations of the digestive system,digestive system disease,Medium,EFO_0000405
Other congenital malformations of the digestive system,Digestive System Carcinoma,Medium,EFO_1000218
Other congenital malformations of ear,Abnormality of the outer ear,Medium,HP_0000356
Other congenital malformations of ear,Abnormality of cardiovascular system morphology,Medium,HP_0030680
Other congenital malformations of face and neck,cutaneous melanoma,Medium,EFO_0000389
Other congenital malformations of face and neck,Langerhans Cell Histiocytosis,Medium,EFO_1000318
Other congenital malformations of peripheral vascular system,Abnormality of cardiovascular system morphology,Medium,HP_0030680
Other congenital malformations of peripheral vascular system,Remnants of the hyaloid vascular system,Medium,HP_0007968
Other congenital malformations of skin,large congenital melanocytic nevus,Medium,MONDO_0044792
Other congenital malformations of skin,Abnormality of cardiovascular system morphology,Medium,HP_0030680
"Other congenital malformations of tongue, mouth and pharynx",N/A,Did not map,N/A
Other specified congenital malformation syndromes affecting multiple systems,hereditary multiple exostoses,Good,EFO_0005560
"Phakomatoses, not elsewhere classified",respiratory system disease,Medium,EFO_0000684
"Phakomatoses, not elsewhere classified",cardiomyopathy,Medium,EFO_0000318
Undescended testicle,cryptorchidism,Good,EFO_0004562
Abdominal and pelvic pain,abdominal and pelvic region disorder,Good,MONDO_0044965
Abnormalities of breathing,Abnormality of the adrenal glands,Medium,HP_0000834
Abnormalities of breathing,Abnormality of the larynx,Medium,HP_0001600
Abnormalities of gait and mobility,N/A,Did not map,N/A
Abnormalities of heart beat,Palpitations,Medium,HP_0001962
Abnormalities of heart beat,Abnormality of the adrenal glands,Medium,HP_0000834
"Abnormal blood-pressure reading, without diagnosis",reading,Good,EFO_0005229
Abnormal findings on diagnostic imaging of breast,abnormal result of diagnostic imaging,Good,EFO_0009827
Abnormal findings on diagnostic imaging of central nervous system,abnormal result of diagnostic imaging,Good,EFO_0009827
"Abnormal findings on diagnostic imaging and in function studies, without diagnosis",N/A,Did not map,N/A
Abnormal findings on diagnostic imaging of lung,abnormal result of diagnostic imaging,Good,EFO_0009827
Abnormal findings on diagnostic imaging of other body structures,abnormal result of diagnostic imaging,Good,EFO_0009827
"Abnormal findings on examination of blood, without diagnosis",Abnormality of the cerebrospinal fluid,Medium,HP_0002921
"Abnormal findings on examination of blood, without diagnosis",Abnormal blood zinc concentration,Medium,HP_0008277
"Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis",N/A,Did not map,N/A
"Abnormal findings on examination of urine, without diagnosis",Abnormality of the cerebrospinal fluid,Medium,HP_0002921
"Abnormal findings on examination of urine, without diagnosis",Abnormal urine potassium concentration,Medium,HP_0012598
Abnormal findings in nipple discharge synovial fluid wound secretions,Abnormality of the cerebrospinal fluid,Medium,HP_0002921
Abnormal findings in nipple discharge synovial fluid wound secretions,Hypervolemia,Medium,HP_0011105
Abnormal findings in secretions and smears from cervix uteri vagina vulva,N/A,Did not map,N/A
Abnormal involuntary movements,neurodevelopmental disorder with involuntary movements,Medium,MONDO_0060491
Abnormal involuntary movements,Nystagmus,Medium,HP_0000639
Abnormal results of function studies,abnormal result of function studies,Good,EFO_0009628
Abnormal serum enzyme levels,abnormality of serum enzyme levels,Medium,EFO_0009826
Abnormal serum enzyme levels,serum IgE measurement,Medium,EFO_0004579
Abnormal spermatozoa,Male infertility due to large-headed multiflagellar polyploid spermatozoa,Medium,Orphanet_137893
Abnormal spermatozoa,Male infertility due to globozoospermia,Medium,Orphanet_171709
Ascites,Ascites,Good,HP_0001541
Cardiac murmurs and other cardiac sounds,N/A,Did not map,N/A
"Convulsions, not elsewhere classified",respiratory system disease,Medium,EFO_0000684
"Convulsions, not elsewhere classified",cardiomyopathy,Medium,EFO_0000318
Cough,Cough,Good,HP_0012735
Cramp and spasm,muscle cramp,Good,EFO_0009846
Disturbances of skin sensation,disturbance of skin sensation,Medium,EFO_0009522
Disturbances of skin sensation,disturbances of sensation of smell and taste,Medium,EFO_0009543
Disturbances of smell and taste,disturbances of sensation of smell and taste,Good,EFO_0009543
Dizziness and giddiness,N/A,Did not map,N/A
Dysphagia,Dysphagia,Good,HP_0002015
Dyspnoea,Dyspnea,Good,HP_0002094
Elevated blood glucose level,fasting blood glucose measurement,Medium,EFO_0004465
Elevated blood glucose level,glucose measurement,Medium,EFO_0004468
Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity,N/A,Did not map,N/A
Enlarged lymph nodes,Lymphadenitis,Medium,HP_0002840
Enlarged lymph nodes,Lymphadenopathy,Medium,HP_0002716
Faecal incontinence,fecal incontinence,Good,EFO_0009523
Fever of other and unknown origin,N/A,Did not map,N/A
General symptoms and signs,neurobehavioral manifestations,Medium,EFO_0004364
General symptoms and signs,sign or symptom,Medium,EFO_0003765
"Haemorrhage, not elsewhere classified",respiratory system disease,Medium,EFO_0000684
"Haemorrhage, not elsewhere classified",cardiomyopathy,Medium,EFO_0000318
Haemorrhage from respiratory passages,postpartum hemorrhage,Good,EFO_0009579
Headache,Headache,Good,HP_0002315
Heartburn,N/A,Did not map,N/A
"Hepatomegaly and splenomegaly, not elsewhere classified",N/A,Did not map,N/A
Hyperhidrosis,Hyperhidrosis,Good,HP_0000975
Ill-defined and unknown causes of mortality,N/A,Did not map,N/A
Isolated proteinuria,Proteinuria,Medium,HP_0000093
Isolated proteinuria,Mild proteinuria,Medium,HP_0012595
Lack of expected normal physiological development,Absent speech,Medium,HP_0001344
Lack of expected normal physiological development,Global developmental delay,Medium,HP_0001263
"Localized swelling, mass and lump of skin and subcutaneous tissue",N/A,Did not map,N/A
Malaise and fatigue,N/A,Did not map,N/A
Mouth breathing,Breathing dysregulation,Medium,HP_0005957
Mouth breathing,mouth,Medium,UBERON_0000165
Nausea and vomiting,Nausea and vomiting,Good,HP_0002017
"Oedema, not elsewhere classified",respiratory system disease,Medium,EFO_0000684
"Oedema, not elsewhere classified",cardiomyopathy,Medium,EFO_0000318
Other abnormalities of plasma proteins,Abnormality of the adrenal glands,Medium,HP_0000834
Other abnormalities of plasma proteins,Abnormality of the larynx,Medium,HP_0001600
Other abnormal findings of blood chemistry,Abnormality of the cerebrospinal fluid,Medium,HP_0002921
Other abnormal findings of blood chemistry,Abnormal blood zinc concentration,Medium,HP_0008277
Other abnormal findings in urine,Glycosuria,Medium,HP_0003076
Other abnormal findings in urine,Hematuria,Medium,HP_0000790
Other abnormal immunological findings in serum,Abnormality of the cerebrospinal fluid,Medium,HP_0002921
Other abnormal immunological findings in serum,Abnormal mitochondria in muscle tissue,Medium,HP_0008316
Other general symptoms and signs,neurobehavioral manifestations,Medium,EFO_0004364
Other general symptoms and signs,sign or symptom,Medium,EFO_0003765
Other ill-defined and unspecified causes of mortality,cardiovascular disease,Good,EFO_0000319
Other lack of coordination,malnutrition,Good,EFO_0008572
Other skin changes,other acquired skin disease,Medium,MONDO_0019546
Other skin changes,Cronkhite-Canada syndrome,Medium,Orphanet_2930
Other symptoms and signs involving the circulatory and respiratory systems,N/A,Did not map,N/A
Other symptoms and signs involving cognitive functions and awareness,N/A,Did not map,N/A
Other symptoms and signs involving the digestive system and abdomen,N/A,Did not map,N/A
Other symptoms and signs involving general sensations and perceptions,N/A,Did not map,N/A
Other symptoms and signs involving the nervous and musculoskeletal systems,N/A,Did not map,N/A
Other symptoms and signs involving the urinary system,sign or symptom,Medium,EFO_0003765
Other symptoms and signs involving the urinary system,neurobehavioral manifestations,Medium,EFO_0004364
Pain associated with micturition,micturition,Medium,GO_0060073
Pain associated with micturition,Exercise-induced myalgia,Medium,HP_0003738
"Pain, not elsewhere classified",respiratory system disease,Medium,EFO_0000684
"Pain, not elsewhere classified",cardiomyopathy,Medium,EFO_0000318
Pain in throat and chest,N/A,Did not map,N/A
Polyuria,Polyuria,Good,HP_0000103
Rash and other nonspecific skin eruption,N/A,Did not map,N/A
Retention of urine,Urinary retention,Medium,HP_0000016
Retention of urine,renal water retention,Medium,GO_0003092
"Somnolence, stupor and coma",N/A,Did not map,N/A
"Speech disturbances, not elsewhere classified",respiratory system disease,Medium,EFO_0000684
"Speech disturbances, not elsewhere classified",cardiomyopathy,Medium,EFO_0000318
Symptoms and signs concerning food and fluid intake,N/A,Did not map,N/A
Symptoms and signs involving the circulatory and respiratory systems,N/A,Did not map,N/A
"Symptoms and signs involving cognition, perception, emotional state and behaviour",N/A,Did not map,N/A
Symptoms and signs involving the digestive system and abdomen,N/A,Did not map,N/A
Symptoms and signs involving emotional state,sign or symptom,Medium,EFO_0003765
Symptoms and signs involving emotional state,neurobehavioral manifestations,Medium,EFO_0004364
Symptoms and signs involving the nervous and musculoskeletal systems,N/A,Did not map,N/A
Symptoms and signs involving the skin and subcutaneous tissue,N/A,Did not map,N/A
Symptoms and signs involving speech and voice,N/A,Did not map,N/A
Symptoms and signs involving the urinary system,sign or symptom,Medium,EFO_0003765
Symptoms and signs involving the urinary system,neurobehavioral manifestations,Medium,EFO_0004364
Syncope and collapse,N/A,Did not map,N/A
Unknown and unspecified causes of morbidity,viral encephalitis,Good,EFO_0007538
Unspecified haematuria,African,Medium,HANCESTRO_0010
Unspecified haematuria,Asian,Medium,HANCESTRO_0008
Unspecified jaundice,Jaundice,Medium,HP_0000952
Unspecified jaundice,Hyperbiliverdinemia,Medium,Orphanet_276405
Unspecified urinary incontinence,urgency urinary incontinence,Good,EFO_0006865
Voice disturbances,voice disorders,Good,EFO_0009692
Other/unspecified reactive arthropathies,reactive arthritis,Medium,EFO_0007460
Other/unspecified reactive arthropathies,C-reactive protein measurement,Medium,EFO_0004458
Respiratory insufficiency,Respiratory insufficiency,Good,HP_0002093
Respiratory disorders in diseases classified elsewhere,respiratory system disease,Medium,EFO_0000684
Respiratory disorders in diseases classified elsewhere,cardiomyopathy,Medium,EFO_0000318
