	term	label	source	quality	action
Psoriasis (vulgaris), strict definition	http://www.ebi.ac.uk/efo/EFO_1001494	psoriasis vulgaris	OLS API EFO lookup	fuzzy	check if valid
Other psoriatic arthropathies	http://www.ebi.ac.uk/efo/EFO_0003778	psoriatic arthritis	OLS API EFO lookup	fuzzy	check if valid
Psoriatic and enteropathic arthropathies	http://www.ebi.ac.uk/efo/EFO_0003778	Psoriatic and enteropathic arthropathies	Zooma API lookup	match	
COPD/asthma/ILD related infections	http://www.ebi.ac.uk/efo/EFO_1001406	Prosthesis-Related Infections	OLS API EFO lookup	fuzzy	check if valid
COPD/asthma/ILD related pneumonia or pneumonia derived septichaemia	http://www.ebi.ac.uk/efo/EFO_0003106	pneumonia	OLS API EFO lookup	fuzzy	check if valid
Ankyloglossia	http://www.orpha.net/ORDO/Orphanet_324601	X-linked cleft palate and ankyloglossia	OLS API EFO lookup	fuzzy	check if valid
Cheft hard palate NOS	http://purl.obolibrary.org/obo/HP_0000175	Cleft palate	OLS API EFO lookup	fuzzy	check if valid
Chromosomal abnormalities, not elsewhere classified					
Clefts and caries					
Cleft hard palate with cleft lip, unilateral	http://purl.obolibrary.org/obo/HP_0000175	Cleft palate	OLS API EFO lookup	fuzzy	check if valid
Cleft lip and cleft palate	http://www.orpha.net/ORDO/Orphanet_320317	Cleft lip/palate - ectodermal dysplasia	OLS API EFO lookup	fuzzy	check if valid
Cleft palate	http://purl.obolibrary.org/obo/MONDO_0016064	cleft palate	EFO OBO	match	
CL and CLP					
Congenital deformities of feet	http://purl.obolibrary.org/obo/HP_0001760	Congenital deformities of feet	Zooma API lookup	match	
Congenital deformities of hip	http://www.ebi.ac.uk/efo/EFO_1000648	Congenital deformities of hip	Zooma API lookup	match	
Congenital malformations of anterior segment of eye	http://purl.obolibrary.org/obo/HP_0007700	Congenital malformations of anterior segment of eye	Zooma API lookup	match	
Congenital malformations of aortic and mitral valves	http://www.ebi.ac.uk/efo/EFO_0009539	Congenital malformations of aortic and mitral valves	Zooma API lookup	match	
Congenital malformations of breast	http://purl.obolibrary.org/obo/HP_0000769	Congenital malformations of breast	Zooma API lookup	match	
Congenital malformations of cardiac chambers and connections	http://www.ebi.ac.uk/efo/EFO_0005269	Congenital malformations of cardiac chambers and connections	Zooma API lookup	match	
Congenital malformations of cardiac septa	http://www.orpha.net/ORDO/Orphanet_2445	Conotruncal heart malformations	OLS API EFO lookup	fuzzy	check if valid
Congenital malformations of the circulatory system					
Congenital malformations and deformations of the musculoskeletal system					
Congenital malformations of eyelid, lacrimal apparatus and orbit	http://purl.obolibrary.org/obo/HP_0000614	Congenital malformations of eyelid lacrimal apparatus and orbit	Zooma API lookup	match	
Congenital malformations of eye, ear, face and neck	http://www.ebi.ac.uk/efo/EFO_0000389	cutaneous melanoma	OLS API EFO lookup	fuzzy	check if valid
Congenital malformations of gallbladder, bile ducts and liver	http://purl.obolibrary.org/obo/HP_0001392	Congenital malformations of gallbladder bile ducts and liver	Zooma API lookup	match	
Congenital malformations of genital organs	http://www.ebi.ac.uk/efo/EFO_0008622	female genital tract polyp	OLS API EFO lookup	fuzzy	check if valid
Congenital malformations of great arteries	http://www.orpha.net/ORDO/Orphanet_98724	Congenital malformations of great arteries	Zooma API lookup	match	
Congenital malformations of the musculoskeletal system, not elsewhere classified					
Congenital malformations of the nervous system	http://purl.obolibrary.org/obo/MONDO_0002320	congenital nervous system disorder	OLS API EFO lookup	fuzzy	check if valid
Congenital malformations of ovaries, fallopian tubes and broad ligaments					
Congenital malformations of pulmonary and tricuspid valves	http://www.ebi.ac.uk/efo/EFO_1001769	carcinoid heart disease	OLS API EFO lookup	fuzzy	check if valid
Congenital malformations of the respiratory system	http://purl.obolibrary.org/obo/HP_0030680	Abnormality of cardiovascular system morphology	OLS API EFO lookup	fuzzy	check if valid
Congenital malformations of spine and bony thorax	http://www.ebi.ac.uk/efo/EFO_0007236	diffuse idiopathic skeletal hyperostosis	OLS API EFO lookup	fuzzy	check if valid
Congenital malformations of trachea and bronchus					
Congenital malformations of the urinary system	http://www.orpha.net/ORDO/Orphanet_183539	Genetic renal or urinary tract malformation	OLS API EFO lookup	fuzzy	check if valid
Congenital malformations of uterus and cervix	http://purl.obolibrary.org/obo/HP_0000008	Congenital malformations of uterus and cervix	Zooma API lookup	match	
Congenital musculoskeletal deformities of head, face, spine and chest					
Congenital obstructive defects of renal pelvis and congenital malformations of ureter	http://purl.obolibrary.org/obo/HP_0010944	Congenital obstructive defects of renal pelvis and congenital malformations of ureter	Zooma API lookup	match	
Craniosynostosis	http://www.orpha.net/ORDO/Orphanet_1531	Craniosynostosis	EFO OBO	match	
Cystic kidney disease	http://www.ebi.ac.uk/efo/EFO_0008615	Cystic Kidney Disease	EFO OBO	match	
Ehlers-Danlos syndrome	http://www.orpha.net/ORDO/Orphanet_98249	Ehlers-Danlos syndrome	OLS API EFO lookup	match	
Other congenital malformations	http://purl.obolibrary.org/obo/MONDO_0000904	complex cortical dysplasia with other brain malformations	OLS API EFO lookup	fuzzy	check if valid
Other congenital malformations of circulatory system	http://purl.obolibrary.org/obo/HP_0030680	Other congenital malformations of circulatory system	Zooma API lookup	match	
Other congenital malformations of the digestive system					
Other congenital malformations of ear	http://purl.obolibrary.org/obo/HP_0031703	Other congenital malformations of ear	Zooma API lookup	match	
Other congenital malformations of face and neck	http://www.orpha.net/ORDO/Orphanet_183530	Other congenital malformations of face and neck	Zooma API lookup	match	
Other congenital malformations of female genitalia	http://purl.obolibrary.org/obo/HP_0000008	Abnormal morphology of female internal genitalia	OLS API EFO lookup	fuzzy	check if valid
Other congenital malformations of heart	http://www.ebi.ac.uk/efo/EFO_0005269	Other congenital malformations of heart	Zooma API lookup	match	
Other congenital malformations of intestine	http://www.orpha.net/ORDO/Orphanet_97945	Other congenital malformations of intestine	Zooma API lookup	match	
Other congenital malformations of limb(s)					
Other congenital malformations of male genital organs	http://purl.obolibrary.org/obo/HP_0000022	Other congenital malformations of male genital organs	Zooma API lookup	match	
Other congenital malformations of nervous system	http://purl.obolibrary.org/obo/MONDO_0002320	congenital nervous system disorder	OLS API EFO lookup	fuzzy	check if valid
Other congenital malformations, not elsewhere classified					
Other congenital malformations of peripheral vascular system	http://purl.obolibrary.org/obo/HP_0002597	Other congenital malformations of peripheral vascular system	Zooma API lookup	match	
Other congenital malformations of skin	http://www.orpha.net/ORDO/Orphanet_139027	Other congenital malformations of skin	Zooma API lookup	match	
Other congenital malformations of tongue, mouth and pharynx	http://www.orpha.net/ORDO/Orphanet_183530	"""Other congenital malformations of tongue, mouth and pharynx"""	Zooma API lookup	match	
Other osteochondrodysplasias					
Other specified congenital malformation syndromes affecting multiple systems	http://www.ebi.ac.uk/efo/EFO_0005560	hereditary multiple exostoses	OLS API EFO lookup	fuzzy	check if valid
Phakomatoses, not elsewhere classified					
Undescended testicle	http://www.ebi.ac.uk/efo/EFO_0004562	cryptorchidism	EFO OBO	match	
Abdominal and pelvic pain	http://www.ebi.ac.uk/efo/EFO_0003766	Abdominal and pelvic pain	Zooma API lookup	match	
Abnormalities of breathing	http://purl.obolibrary.org/obo/HP_0005957	Abnormalities of breathing	Zooma API lookup	match	
Abnormalities of gait and mobility	http://purl.obolibrary.org/obo/HP_0001288	Abnormalities of gait and mobility	Zooma API lookup	match	
Abnormalities of heart beat	http://www.ebi.ac.uk/efo/EFO_0004269	Abnormalities of heart beat	Zooma API lookup	match	
Abnormal blood-pressure reading, without diagnosis	http://purl.obolibrary.org/obo/HP_0030972	Abnormal systemic blood pressure	OLS API EFO lookup	fuzzy	check if valid
Abnormal findings on diagnostic imaging of breast					
Abnormal findings on diagnostic imaging of central nervous system	http://purl.obolibrary.org/obo/HP_0002011	Abnormal findings on diagnostic imaging of central nervous system	Zooma API lookup	match	
Abnormal findings on diagnostic imaging and in function studies, without diagnosis	http://www.ebi.ac.uk/efo/EFO_0007627	airway imaging measurement	OLS API EFO lookup	fuzzy	check if valid
Abnormal findings on diagnostic imaging of lung	http://purl.obolibrary.org/obo/HP_0002088	Abnormal findings on diagnostic imaging of lung	Zooma API lookup	match	
Abnormal findings on diagnostic imaging of other body structures					
Abnormal findings on examination of blood, without diagnosis	http://www.ebi.ac.uk/efo/EFO_0005296	migraine without aura	OLS API EFO lookup	fuzzy	check if valid
Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis	http://www.ebi.ac.uk/efo/EFO_1000669	allergic urticaria	OLS API EFO lookup	fuzzy	check if valid
Abnormal findings on examination of urine, without diagnosis	http://purl.obolibrary.org/obo/HP_0012614	Abnormal urine cytology	OLS API EFO lookup	fuzzy	check if valid
Abnormal findings in nipple discharge synovial fluid wound secretions	http://www.ebi.ac.uk/efo/EFO_0009365	vaginal discharge	OLS API EFO lookup	fuzzy	check if valid
Abnormal findings in secretions and smears from cervix uteri vagina vulva					
Abnormal involuntary movements	http://purl.obolibrary.org/obo/MONDO_0060491	neurodevelopmental disorder with involuntary movements	OLS API EFO lookup	fuzzy	check if valid
Abnormal results of function studies					
Abnormal serum enzyme levels	http://www.ebi.ac.uk/efo/EFO_0009826	Abnormal serum enzyme levels	Zooma API lookup	match	
Abnormal spermatozoa	http://www.orpha.net/ORDO/Orphanet_137893	Male infertility due to large-headed multiflagellar polyploid spermatozoa	OLS API EFO lookup	fuzzy	check if valid
Abnormal weight loss	http://purl.obolibrary.org/obo/HP_0001824	Weight loss	OLS API EFO lookup	fuzzy	check if valid
Anorexia	http://purl.obolibrary.org/obo/HP_0002039	Anorexia	OLS API EFO lookup	match	
Anuria and oliguria	http://www.ebi.ac.uk/efo/EFO_0009530	Anuria and oliguria	Zooma API lookup	match	
Ascites	http://purl.obolibrary.org/obo/HP_0001541	ascites	Zooma API lookup	match	
Cardiac murmurs and other cardiac sounds					
Convulsions, not elsewhere classified	http://purl.obolibrary.org/obo/HP_0001250	"""Convulsions, not elsewhere classified"""	Zooma API lookup	match	
Cough	http://purl.obolibrary.org/obo/HP_0012735	cough	Zooma API lookup	match	
Cramp and spasm	http://www.ebi.ac.uk/efo/EFO_0009846	muscle cramp	OLS API EFO lookup	fuzzy	check if valid
Disturbances of skin sensation	http://www.ebi.ac.uk/efo/EFO_0009522	Disturbances of skin sensation	Zooma API lookup	match	
Disturbances of smell and taste	http://www.ebi.ac.uk/efo/EFO_0009543	Disturbances of smell and taste	Zooma API lookup	match	
Dizziness and giddiness	http://purl.obolibrary.org/obo/HP_0002321	Dizziness and giddiness	Zooma API lookup	match	
Dysphagia	http://purl.obolibrary.org/obo/HP_0002015	Dysphagia	OLS API EFO lookup	match	
Dyspnoea	http://purl.obolibrary.org/obo/HP_0002094	Dyspnea	OLS API EFO lookup	match	
Elevated blood glucose level	http://www.ebi.ac.uk/efo/EFO_0004468	Elevated blood glucose level	Zooma API lookup	match	
Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity	http://purl.obolibrary.org/obo/HP_0031860	Abnormal heart rate variability	OLS API EFO lookup	fuzzy	check if valid
Enlarged lymph nodes	http://www.ebi.ac.uk/efo/EFO_0004906	lymph node metastatic carcinoma	OLS API EFO lookup	fuzzy	check if valid
Faecal incontinence	http://www.ebi.ac.uk/efo/EFO_0009523	fecal incontinence	EFO OBO	match	
Fasciculation	http://www.ebi.ac.uk/efo/EFO_0000253	amyotrophic lateral sclerosis	OLS API EFO lookup	fuzzy	check if valid
Fever of other and unknown origin	http://www.ebi.ac.uk/efo/EFO_0000203	monoclonal gammopathy	OLS API EFO lookup	fuzzy	check if valid
Flatulence and related conditions					
Gangrene, not elsewhere classified	http://www.ebi.ac.uk/efo/EFO_0008574	gangrene	OLS API EFO lookup	fuzzy	check if valid
General symptoms and signs	http://www.ebi.ac.uk/efo/EFO_0003765	sign or symptom	OLS API EFO lookup	fuzzy	check if valid
Haemorrhage, not elsewhere classified					
Haemorrhage from respiratory passages	http://purl.obolibrary.org/obo/MP_0001914	Haemorrhage from respiratory passages	Zooma API lookup	match	
Headache	http://purl.obolibrary.org/obo/HP_0002315	Headache	OLS API EFO lookup	match	
Heartburn	http://www.ebi.ac.uk/efo/EFO_0008533	Heartburn	Zooma API lookup	match	
Hepatomegaly and splenomegaly, not elsewhere classified	http://www.ebi.ac.uk/efo/EFO_0007516	toxocariasis	OLS API EFO lookup	fuzzy	check if valid
Hyperhidrosis	http://www.ebi.ac.uk/efo/EFO_1000712	Hyperhidrosis	Zooma API lookup	match	
Ill-defined and unknown causes of mortality	http://www.ebi.ac.uk/efo/EFO_0005783	NUT midline carcinoma	OLS API EFO lookup	fuzzy	check if valid
Isolated proteinuria	http://purl.obolibrary.org/obo/HP_0000093	Isolated proteinuria	Zooma API lookup	match	
Lack of expected normal physiological development	http://purl.obolibrary.org/obo/HP_0001344	Absent speech	OLS API EFO lookup	fuzzy	check if valid
Localized swelling, mass and lump of skin and subcutaneous tissue					
Malaise and fatigue	http://purl.obolibrary.org/obo/HP_0012378	Malaise and fatigue	Zooma API lookup	match	
Mouth breathing					
Nausea and vomiting	http://purl.obolibrary.org/obo/HP_0002017	Nausea and vomiting	Zooma API lookup	match	
Oedema, not elsewhere classified	http://www.ebi.ac.uk/efo/EFO_0009373	"""Oedema, not elsewhere classified"""	Zooma API lookup	match	
Other abnormalities of plasma proteins					
Other abnormal findings of blood chemistry	http://purl.obolibrary.org/obo/HP_0001871	Other abnormal findings of blood chemistry	Zooma API lookup	match	
Other abnormal findings in urine	http://purl.obolibrary.org/obo/HP_0003110	Other abnormal findings in urine	Zooma API lookup	match	
Other abnormal immunological findings in serum	http://purl.obolibrary.org/obo/HP_0002715	Other abnormal immunological findings in serum	Zooma API lookup	match	
Other general symptoms and signs	http://www.ebi.ac.uk/efo/EFO_0003765	Other general symptoms and signs	Zooma API lookup	match	
Other ill-defined and unspecified causes of mortality	http://www.ebi.ac.uk/efo/EFO_0009434	Other ill defined and unspecified causes of mortality	Zooma API lookup	match	
Other lack of coordination	http://purl.obolibrary.org/obo/HP_0001310	Dysmetria	OLS API EFO lookup	fuzzy	check if valid
Other skin changes	http://purl.obolibrary.org/obo/HP_0000951	Other skin changes	Zooma API lookup	match	
Other symptoms and signs involving the circulatory and respiratory systems	http://purl.obolibrary.org/obo/HP_0001626	Other symptoms and signs involving the circulatory and respiratory systems	Zooma API lookup	match	
Other symptoms and signs involving cognitive functions and awareness	http://purl.obolibrary.org/obo/HP_0100543	Other symptoms and signs involving cognitive functions and awareness	Zooma API lookup	match	
Other symptoms and signs involving the digestive system and abdomen	http://purl.obolibrary.org/obo/HP_0025031	Other symptoms and signs involving the digestive system and abdomen	Zooma API lookup	match	
Other symptoms and signs involving general sensations and perceptions					
Other symptoms and signs involving the nervous and musculoskeletal systems	http://purl.obolibrary.org/obo/HP_0000924	Other symptoms and signs involving the nervous and musculoskeletal systems	Zooma API lookup	match	
Other symptoms and signs involving the urinary system	http://purl.obolibrary.org/obo/HP_0000079	Other symptoms and signs involving the urinary system	Zooma API lookup	match	
Pain associated with micturition	http://www.ebi.ac.uk/efo/EFO_0003901	Pain associated with micturition	Zooma API lookup	match	
Pain, not elsewhere classified					
Pain in throat and chest	http://www.ebi.ac.uk/efo/EFO_0003843	Pain in throat and chest	Zooma API lookup	match	
Polyuria	http://purl.obolibrary.org/obo/HP_0000103	polyuria	Zooma API lookup	match	
Rash and other nonspecific skin eruption	http://www.ebi.ac.uk/efo/EFO_0000701	Rash and other nonspecific skin eruption	Zooma API lookup	match	
Retention of urine	http://purl.obolibrary.org/obo/HP_0000016	Retention of urine	Zooma API lookup	match	
Senility	http://purl.obolibrary.org/obo/HP_0100543	Senility	Zooma API lookup	match	
Shock, not elsewhere classified					
Somnolence	http://www.ebi.ac.uk/efo/EFO_0005855	narcolepsy without cataplexy	OLS API EFO lookup	fuzzy	check if valid
Somnolence, stupor and coma	http://www.ebi.ac.uk/efo/EFO_0007332	Japanese encephalitis	OLS API EFO lookup	fuzzy	check if valid
Speech disturbances, not elsewhere classified	http://purl.obolibrary.org/obo/HP_0011098	"""Speech disturbances, not elsewhere classified"""	Zooma API lookup	match	
Symptoms and signs concerning food and fluid intake	http://www.ebi.ac.uk/efo/EFO_0009825	Symptoms and signs concerning food and fluid intake	Zooma API lookup	match	
Symptoms and signs involving appearance and behaviour					
Symptoms and signs involving the circulatory and respiratory systems	http://purl.obolibrary.org/obo/HP_0001626	Other symptoms and signs involving the circulatory and respiratory systems	Zooma API lookup	match	
Symptoms and signs involving cognition, perception, emotional state and behaviour					
Symptoms and signs involving the digestive system and abdomen	http://purl.obolibrary.org/obo/HP_0025031	Other symptoms and signs involving the digestive system and abdomen	Zooma API lookup	match	
Symptoms and signs involving emotional state	http://www.ebi.ac.uk/efo/EFO_0003765	sign or symptom	OLS API EFO lookup	fuzzy	check if valid
Symptoms and signs involving the nervous and musculoskeletal systems	http://purl.obolibrary.org/obo/HP_0000924	Other symptoms and signs involving the nervous and musculoskeletal systems	Zooma API lookup	match	
Symptoms and signs involving the skin and subcutaneous tissue	http://www.ebi.ac.uk/efo/EFO_0000701	skin disease	OLS API EFO lookup	fuzzy	check if valid
Symptoms and signs involving speech and voice					
Symptoms and signs involving the urinary system	http://www.ebi.ac.uk/efo/EFO_0003765	sign or symptom	OLS API EFO lookup	fuzzy	check if valid
Syncope and collapse	http://purl.obolibrary.org/obo/HP_0001279	Syncope and collapse	Zooma API lookup	match	
Unknown and unspecified causes of morbidity	http://www.ebi.ac.uk/efo/EFO_0009734	unspecified juvenile idiopathic arthritis	OLS API EFO lookup	fuzzy	check if valid
Unspecified haematuria	http://purl.obolibrary.org/obo/HP_0000790	Unspecified haematuria	Zooma API lookup	match	
Unspecified jaundice	http://purl.obolibrary.org/obo/HP_0000952	Unspecified jaundice	Zooma API lookup	match	
Unspecified urinary incontinence	http://purl.obolibrary.org/obo/HP_0000020	Unspecified urinary incontinence	Zooma API lookup	match	
Voice disturbances	http://www.ebi.ac.uk/efo/EFO_0009692	Voice disturbances	Zooma API lookup	match	
Other/unspecified reactive arthropathies	http://www.ebi.ac.uk/efo/EFO_0007460	reactive arthritis	OLS API EFO lookup	fuzzy	check if valid
Respiratory insufficiency	http://purl.obolibrary.org/obo/HP_0002093	respiratory insufficiency	Zooma API lookup	match	
Respiratory disorders in diseases classified elsewhere					
Reactive arthropathies, FINNGEN	http://www.ebi.ac.uk/efo/EFO_0007460	reactive arthritis	OLS API EFO lookup	fuzzy	check if valid
Chrystal arthropathies, rheuma endpoint	http://www.ebi.ac.uk/efo/EFO_0004951	alive at endpoint	OLS API EFO lookup	fuzzy	check if valid
Finngen Rheumatological endpoints	http://www.ebi.ac.uk/efo/EFO_1001161	rheumatic heart disease	OLS API EFO lookup	fuzzy	check if valid
Other/unspecified rheumatoid arthritis	http://www.ebi.ac.uk/efo/EFO_0000685	rheumatoid arthritis	OLS API EFO lookup	fuzzy	check if valid
Other (seronegative) rheumatoid arthritis, wide	http://www.ebi.ac.uk/efo/EFO_0000685	rheumatoid arthritis	OLS API EFO lookup	fuzzy	check if valid
Seronegative rheumatoid arthritis	http://www.ebi.ac.uk/efo/EFO_0000685	rheumatoid arthritis	OLS API EFO lookup	fuzzy	check if valid
Seropositive rheumatoid arthritis	http://www.ebi.ac.uk/efo/EFO_0000685	Seropositive rheumatoid arthritis	Zooma API lookup	match	
Other/unspecified seropositiverheumatoid arthritis	http://www.ebi.ac.uk/efo/EFO_0009734	unspecified juvenile idiopathic arthritis	OLS API EFO lookup	fuzzy	check if valid
Seropositive rheumatoid arthritis, strict definition	http://www.ebi.ac.uk/efo/EFO_0000685	rheumatoid arthritis	OLS API EFO lookup	fuzzy	check if valid
Seropositive rheumatoid arthritis, wide	http://www.ebi.ac.uk/efo/EFO_0000685	rheumatoid arthritis	OLS API EFO lookup	fuzzy	check if valid
Other arthritis (FG)	http://www.ebi.ac.uk/efo/EFO_0009297	fg syndrome	OLS API EFO lookup	fuzzy	check if valid
Vasomotor rhinitis (mode)	http://www.ebi.ac.uk/efo/EFO_0007533	vasomotor rhinitis	OLS API EFO lookup	fuzzy	check if valid
Antihypertensive medication - note that there are other indications	http://www.ebi.ac.uk/efo/EFO_0005405	response to antihypertensive drug	OLS API EFO lookup	fuzzy	check if valid
Codeine or tramadol medication	http://www.ebi.ac.uk/efo/EFO_0006344	medication adherence behavior	OLS API EFO lookup	fuzzy	check if valid
First line medication for Crohns disease	http://www.ebi.ac.uk/efo/EFO_0000384	Crohn's disease	OLS API EFO lookup	fuzzy	check if valid
Second line medication for Crohns disease	http://www.ebi.ac.uk/efo/EFO_0000384	Crohn's disease	OLS API EFO lookup	fuzzy	check if valid
Glucosamine medication					
Medical treatment for female infertility	http://www.ebi.ac.uk/efo/EFO_0000545	infertility	OLS API EFO lookup	fuzzy	check if valid
Paracetamol of NSAID medication	http://www.ebi.ac.uk/efo/EFO_0007012	NSAID use measurement	OLS API EFO lookup	fuzzy	check if valid
Biological medication for rheuma					
Statin medication	http://purl.obolibrary.org/obo/GO_0036273	response to statin	OLS API EFO lookup	fuzzy	check if valid
Other secondary coxarthrosis	http://www.ebi.ac.uk/efo/EFO_1001173	secondary hyperparathyroidism	OLS API EFO lookup	fuzzy	check if valid
Other secondary gonarthrosis	http://www.ebi.ac.uk/efo/EFO_1001173	secondary hyperparathyroidism	OLS API EFO lookup	fuzzy	check if valid
Small fibre neuropathy	http://www.orpha.net/ORDO/Orphanet_3217	Deafness -  small bowel diverticulosis - neuropathy	OLS API EFO lookup	fuzzy	check if valid
Sleep disorders (combined)	http://www.ebi.ac.uk/efo/EFO_0008568	Sleep Disorder	OLS API EFO lookup	fuzzy	check if valid
SLE (Finngen)	http://www.ebi.ac.uk/efo/EFO_0005761	lupus nephritis	OLS API EFO lookup	fuzzy	check if valid
Systemic lupus erythematosus, unspecified	http://www.ebi.ac.uk/efo/EFO_0002690	systemic lupus erythematosus	OLS API EFO lookup	fuzzy	check if valid
Other forms of systemic lupus erythematosus	http://www.ebi.ac.uk/efo/EFO_0003834	cutaneous lupus erythematosus	OLS API EFO lookup	fuzzy	check if valid
SLE, strict definition	http://www.ebi.ac.uk/efo/EFO_0005761	lupus nephritis	OLS API EFO lookup	fuzzy	check if valid
Smoking	http://www.ebi.ac.uk/efo/EFO_0004318	smoking behavior	EFO OBO	match	
Smoking dependancy	http://www.ebi.ac.uk/efo/EFO_0004318	smoking behavior	OLS API EFO lookup	fuzzy	check if valid
Spondyloarthritis	http://www.ebi.ac.uk/efo/EFO_0000706	spondyloarthropathy	EFO OBO	match	
Spondylopathies (FG)	http://www.ebi.ac.uk/efo/EFO_0009297	fg syndrome	OLS API EFO lookup	fuzzy	check if valid
Adverse effects, not elsewhere classified	http://www.ebi.ac.uk/efo/EFO_0009658	"""Adverse effects, not elsewhere classified"""	Zooma API lookup	match	
!Aliquae complicationes praecoces traumatis					
Burns classified according to extent of body surface involved	http://www.ebi.ac.uk/efo/EFO_0009516	Burns classified according to extent of body surface involved	Zooma API lookup	match	
Burns and corrosions					
Burns and corrosions confined to eye and internal organs					
Burns and corrosions of external body surface, specified by site					
Burns and corrosions of multiple body regions					
Burns and corrosions of multiple and unspecified body regions					
Burn and corrosion of ankle and foot					
Burn and corrosion confined to eye and adnexa					
Burn and corrosion of head and neck					
Burn and corrosion of hip and lower limb, except ankle and foot					
Burn and corrosion of shoulder and upper limb, except wrist and hand					
Burn and corrosion of trunk	http://www.ebi.ac.uk/efo/EFO_0009503	caustic injury	OLS API EFO lookup	fuzzy	check if valid
Burn and corrosion of wrist and hand					
Complications of cardiac and vascular prosthetic devices, implants and grafts	http://www.ebi.ac.uk/efo/EFO_0009519	Complications of cardiac and vascular prosthetic devices implants and grafts	Zooma API lookup	match	
Complications following infusion, transfusion and therapeutic injection					
Complications of genitourinary prosthetic devices, implants and grafts	http://www.ebi.ac.uk/efo/EFO_0009519	Complications of genitourinary prosthetic devices implants and grafts	Zooma API lookup	match	
Complications of internal orthopaedic prosthetic devices, implants and grafts	http://www.ebi.ac.uk/efo/EFO_0009519	Complications of internal orthopaedic prosthetic devices implants and grafts	Zooma API lookup	match	
Complications of other internal prosthetic devices, implants and grafts	http://www.ebi.ac.uk/efo/EFO_0009519	Complications of other internal prosthetic devices implants and grafts	Zooma API lookup	match	
Complications peculiar to reattachment and amputation					
Complications of procedures, not elsewhere classified					
Complications of surgical and medical care, not elsewhere classified					
Concussion	http://www.ebi.ac.uk/efo/EFO_0011023	concussion	EFO OBO	match	
Contusion of ankle	http://www.ebi.ac.uk/efo/EFO_0009615	ankle fracture	OLS API EFO lookup	fuzzy	check if valid
Contusion of other and unspecified parts of foot	http://www.ebi.ac.uk/efo/EFO_0009734	unspecified juvenile idiopathic arthritis	OLS API EFO lookup	fuzzy	check if valid
Contusion of toe(s) without damage to nail	http://www.ebi.ac.uk/efo/EFO_1000788	osteoarthritis, toe	OLS API EFO lookup	fuzzy	check if valid
Contusion of toe(s) with damage to nail	http://www.ebi.ac.uk/efo/EFO_1001452	Yellow Nail Syndrome	OLS API EFO lookup	fuzzy	check if valid
Crushing injury of wrist and hand	http://www.ebi.ac.uk/efo/EFO_0009504	Crushing injury of wrist and hand	Zooma API lookup	match	
Diffuse brain injury	http://purl.obolibrary.org/obo/MONDO_0043510	brain injury	OLS API EFO lookup	fuzzy	check if valid
Dislocation, sprain and strain of joints and ligaments at ankle and foot level	http://www.ebi.ac.uk/efo/EFO_1002021	"""Dislocation, sprain and strain of joints and ligaments at ankle and foot level"""	Zooma API lookup	match	
Dislocation, sprain and strain of joints and ligaments of elbow					
Dislocation, sprain and strain of joints and ligaments of head					
Dislocation, sprain and strain of joints and ligaments of knee	http://www.ebi.ac.uk/efo/EFO_0009507	"""Dislocation, sprain and strain of joints and ligaments of knee"""	Zooma API lookup	match	
Dislocation, sprain and strain of joints and ligaments of lumbar spine and pelvis					
Dislocation, sprain and strain of joints and ligaments at neck level	http://www.ebi.ac.uk/efo/EFO_0009476	"""Dislocation, sprain and strain of joints and ligaments at neck level"""	Zooma API lookup	match	
Dislocation, sprain and strain of joints and ligaments of shoulder girdle	http://www.ebi.ac.uk/efo/EFO_0009521	"""Dislocation, sprain and strain of joints and ligaments of shoulder girdle"""	Zooma API lookup	match	
Dislocation, sprain and strain of joints and ligaments of thorax					
Dislocation, sprain and strain of joints and ligaments at wrist and hand level	http://www.ebi.ac.uk/efo/EFO_0009521	"""Dislocation, sprain and strain of joints and ligaments at wrist and hand level"""	Zooma API lookup	match	
Dislocation, sprain and strain of joint and ligaments of hip					
Early complications of trauma	http://www.ebi.ac.uk/efo/EFO_0007979	childhood trauma measurement	OLS API EFO lookup	fuzzy	check if valid
Effects of foreign body entering through natural orifice					
Effects of heat and light	http://www.ebi.ac.uk/efo/EFO_1001340	Effects of heat and light	Zooma API lookup	match	
Effects of other external causes	http://www.ebi.ac.uk/efo/EFO_1000677	cholesteatoma of external ear	OLS API EFO lookup	fuzzy	check if valid
Epidural haemorrhage	http://www.ebi.ac.uk/efo/EFO_1000923	epidural neoplasm	OLS API EFO lookup	fuzzy	check if valid
Failure and rejection of transplanted organs and tissues	http://www.ebi.ac.uk/efo/EFO_0005198	Failure and rejection of transplanted organs and tissues	Zooma API lookup	match	
Focal brain injury	http://purl.obolibrary.org/obo/MONDO_0043510	brain injury	OLS API EFO lookup	fuzzy	check if valid
Foreign body in alimentary tract					
Foreign body in ear					
Foreign body on external eye					
Foreign body in genitourinary tract					
Foreign body in respiratory tract					
Fracture of femur	http://www.ebi.ac.uk/efo/EFO_0008553	Fracture of femur	Zooma API lookup	match	
Fracture of foot, except ankle	http://www.ebi.ac.uk/efo/EFO_0009615	ankle fracture	OLS API EFO lookup	fuzzy	check if valid
Fracture of forearm	http://www.ebi.ac.uk/efo/EFO_0003931	Fracture of forearm	Zooma API lookup	match	
