AB1_AMOEBIASIS	Amoebiasis
H7_OTHIRISCILIARY	Other disorders of iris and ciliary body
H7_OTHRETARTOCC	Other retinal artery occlusion
H7_PAPILLOEDEMA	"Papilloedema, unspecified"
H7_PARASTRA3	Third [oculomotor] nerve palsy
H7_PARASTRA4	Fourth [trochlear] nerve palsy
H7_PARASTRA6	Sixth [abducent] nerve palsy
H7_PARASTRAB	Paralytic strabismus
H7_PARASTRANAS	Other or unspecified paralytic strabismus
H7_PERIPHRETINADEGEN	Peripheral retinal degeneration
H7_PRESBYOPIA	Presbyopia
H7_PTERYGIUM	Pterygium
H7_PTOSIS	Ptosis of eyelid
H7_REFRAACCOMMODIS	Disorders of refraction and accommodation
H7_RETINAHAEMORR	Retinal haemorrhage
H7_RETINALBREAK	Retinal breaks without detachment
H7_RETINALDETACH	Retinal detachments and breaks
H7_RETINALDETACHBREAK	Retinal detachment with retinal break
H7_RETINALDETACHOTH	"Other, unspecified and serous retinal detachments"
H7_RETINALDETACHTRACTION	Traction detachment of retina
H7_RETINALDISOTH	Other retinal disorders
H7_RETINANAS	Other specified and unspecified retinal disorders
H7_RETINASEPAR	Separation of retinal layers (serosa)
H7_RETINAVASC	Retinal vascular disorders
H7_RETINOCHISISCYST	Retinoschisis and retinal cysts
H7_RETINOPATHYDIAB	Diabetic retinopathy
H7_RETINOPATHYDIAB_BKG	Diabetic background retinopathy
H7_RETINOPATHYDIAB_BKG_SEVERE	Severe diabetic background retinopathy
H7_RETINOPATHYDIAB_NAS	Other diabetic retinopathy
H7_RETINOPATHYDIAB_PROLIF	Proliferative diabetic retinopathy
H7_RETIVASCOCCLUSION	Retinal vascular occlusion
H7_RETVASCNAS	Other and unspecified vascular occlusions
H7_SCLERACORNEA	"Disorders of sclera, cornea, iris and ciliary body"
H7_SCLERITIS	Scleritis
H7_SCLERITISEPISCLERITIS	Scleritis and episcleritis
H7_SEVVISIMPMONOC	"Severe visual impairment, monocular"
H7_STENOLACRI	Stenosis and insufficiency of lacrimal passages
H7_STRABISMUS	Strabismus
H7_STRABNAS	Other specified and unspecified strabismus
H7_STRABOTH	Other strabismus
H7_USEOFEYEANTIALLERGENS	Use of eye-antiallergens (taken as indicator of allergic/atopic conjunctivitis)
H7_VASCCILIARY	Hyphaema and other vascular disorders of iris and ciliary body
H7_VERTISTRAB	Vertical strabismus
H7_VISDISTNAS	Other and unspecified visual disturbances
H7_VISFIELDDEF	Visual field defects
H7_VISUALDISTBLIND	Visual disturbances and blindness
H7_VISUDISTURB	Visual disturbances
H7_VISUDISTURBSUB	Subjective visual disturbances
H7_VITRBODYGLOBE	Disorders of vitreous body
H7_VITRCRYSTAL	Crystalline deposits in vitreous body
H7_VITREOUS	Disorders of vitreous body and globe
H7_VITRHAEMORR	Vitreous haemorrhage
H7_VITROPACIT	Other vitreous opacities
H7_VITROTH	Other and unspecified disorders of vitreous body
H7_XANTHELASMA	Xanthelasma of eyelid
H8_ABNAUDPER	Other abnormal auditory perceptions
H8_BPV	Benign paroxysmal vertigo
H8_CERUMEN	Impacted cerumen
H8_CHOLEASTOMA	Cholesteatoma of middle ear
H8_CHRON_SUPOTITIS	Chronic suppurative otitis media
H8_CONSENHEARINGLOSS	Conductive and sensorineural hearing loss
H8_EAR	Diseases of the ear and mastoid process
H8_EUSTNAS	Other disorders of Eustachian tube
H8_EUSTSALP	Eustachian salpingitis and obstruction
H8_EXTDISINOTH	"Disorder of external ear, unspecified"
H8_EXTDISNAS	Other specified disorders of external ear
H8_EXTERNAL	Diseases of external ear
H8_EXTOTITIS	Otitis externa
H8_EXT_ABSC	Abscess of external ear
H8_EXT_CELLUL	Cellulitis of external ear
H8_EXT_INFNAS	Other infective otitis externa
H8_EXT_NAS	"Otitis externa, unspecified"
H8_EXT_NONINF	"Acute otitis externa, noninfective"
H8_EXT_OTH	Other otitis externa (chronic)
H8_HL_CON_NAS	"Conductive hearing loss, unspecified"
H8_HL_DEAFMUT	"Deaf mutism, not elsewhere classified"
H8_HL_IDIOP	Sudden idiopathic hearing loss
H8_HL_MIX_NAS	Mixed conductive and sensorineural hearing loss
H8_HL_NAS	Other specified/unspecified hearing loss
H8_HL_PRESBY	Presbycusis
H8_HL_SEN_NAS	Sensorineural hearing loss
H8_INNER	Diseases of inner ear
H8_MASTACU	Acute mastoiditis
H8_MASTCHRON	Chronic mastoiditis
H8_MED_SUPP	Suppurative and unspecified otitis media
H8_MENIERE	Mnire disease
H8_MIDDLEADDH	Adhesive middle ear disease
H8_MIDDLEMASTOID	Diseases of middle ear and mastoid
H8_NOISEINNER	Noise effects on inner ear
H8_NONSUPPNAS	Nonsuppurative otitis media
H8_OTALGIA	Otalgia
H8_OTHEREAR	Other disorders of ear
H8_OTHHEARINGLOSS	Other hearing loss
H8_OTIMEDNAS	"Otitis media, unspecified"
H8_OTOSCLE	Otosclerosis
H8_PERCHRONDR	Perichondritis of external ear
H8_PERFORATION	Perforation of tympanic membrane
H8_PERIPHVERTIGO	Other peripheral vertigo
H8_POSTOP	"Postprocedural disorders of ear and mastoid process, not elsewhere classified"
H8_STENOEXTCAN	Acquired stenosis of external ear canal
H8_SUP_ACUTE	Acute suppurative otitis media
H8_SUP_OTINAS	"Suppurative otitis media, unspecified"
H8_TINNITUS	Tinnitus
H8_VERTIGO	Disorders of vestibular function (Vertigo)
H8_VERTIGOCENT	Vertigo of central origin
H8_VESTIBNEUR	Vestibular neuronitis
H8_VESTIFUNCNAS	Other/unspecified disorders of vestibular function
HERING_BILATERAL	"Inguinal hernia, bilateral"
HERING_UNILATERAL	"Inguinal hernia, unilateralk"
HYPOTE_DRUGS	Hypotension due to drugs
HYPOTHYROIDISM	Hypothyroidism (congenital or acquired)
HYPOTHY_LEVOTHY	"Hypothyroidism, levothyroxin purchases"
HYPOTHY_PURCHASE	Hypothyroidism and >3 levothyroxin purchases
HYPOTHY_REIMB	"Hypothyroidism, drug reimbursement"
I9_AF	Atrial fibrillation and flutter
I9_AF_EXNONE	Atrial fibrillation and flutter (no controls excluded)
I9_AF_REIMB	Atrial fibrillation and flutter with reimbursement
I9_ANEUR	Endovascular or surgical operations to intracerebral aneurysms
I9_ANEURYSM	"Cerebral aneurysm, nonruptured"
I9_ANEURYSM_EXNONE	"Cerebral aneurysm, nonruptured" (no controls excluded)
I9_ANEUR_EXNONE	Endovascular or surgical operations to intracerebral aneurysms (no controls excluded)
I9_ANGINA	Angina pectoris
I9_ANGINA_EXNONE	Angina pectoris (no controls excluded)
I9_ANGIO	Coronary angiopasty
I9_ANGIO_EXNONE	Coronary angiopasty (no controls excluded)
I9_AORTANEUR	Aortic aneurysm
I9_AORTANEUR_EXNONE	Aortic aneurysm (no controls excluded)
I9_AORTDIS	Dissection of aorta
I9_AORTDIS_EXNONE	Dissection of aorta (no controls excluded)
I9_ARTEMBTHR	Arterial embolism and thrombosis
I9_ARTEMBTHRLOW	Arterial embolism and thrombosis of lower extremity artery
I9_ARTEMBTHRLOW_EXNONE	Arterial embolism and thrombosis of lower extremity artery (no controls excluded)
I9_ARTEMBTHRNAS	Other arterial embolism and thrombosis
I9_ARTEMBTHRNAS_EXNONE	Other arterial embolism and thrombosis (no controls excluded)
I9_ARTEMBTHR_EXNONE	Arterial embolism and thrombosis (no controls excluded)
I9_ARTOTH	Other diseases of arteries and capillaries
I9_ARTOTH_EXNONE	Other diseases of arteries and capillaries (no controls excluded)
I9_ATHSCLE	"Atherosclerosis, excluding cerebral, coronary and PAD"
I9_ATHSCLE_EXNONE	"Atherosclerosis, excluding cerebral, coronary and PAD" (no controls excluded)
I9_AVBLOCK	AV-block
I9_AVBLOCK_EXNONE	AV-block (no controls excluded)
I9_CABG	Coronary artery bypass grafting
I9_CABG_EXNONE	Coronary artery bypass grafting (no controls excluded)
I9_CARDARR	Cardiac arrest
I9_CARDARR_EXNONE	Cardiac arrest (no controls excluded)
I9_CARDMPRI	"Cardiomyopathies, Primary/intrinsic"
I9_CARDMPRI_EXNONE	"Cardiomyopathies, Primary/intrinsic" (no controls excluded)
I9_CARDMSEC	"Cardiomyopathies, Secondary/extrinsic"
I9_CARDMSEC_EXNONE	"Cardiomyopathies, Secondary/extrinsic" (no controls excluded)
I9_CARDMYO	Cardiomyopathy
I9_CARDMYOHYP	"Cardiomyopathy, Hypertrophic obstructive"
I9_CARDMYOHYP_EXNONE	"Cardiomyopathy, Hypertrophic obstructive" (no controls excluded)
I9_CARDMYOOTH	"Cardiomyopathy, other and unspecified"
I9_CARDMYOOTH_EXNONE	"Cardiomyopathy, other and unspecified" (no controls excluded)
I9_CARDMYO_EXNONE	Cardiomyopathy (no controls excluded)
I9_CERATHER	Cerebral atherosclerosis
I9_CERATHER_EXNONE	Cerebral atherosclerosis (no controls excluded)
I9_CEREBATHER	Cerebral atherosclerosis
I9_CEREBDOTH	"Other specified cerebrovascular diseases, other cerebrovascular disorders in diseases classified elsewhere"
I9_CEREBDOTH_EXNONE	"Other specified cerebrovascular diseases, other cerebrovascular disorders in diseases classified elsewhere" (no controls excluded)
I9_CEREBVASC	Cerebrovascular diseases
I9_CHD	Major coronary heart disease event
I9_CONDUCTIO	Conduction disorders
I9_CONDUCTIO_EXNONE	Conduction disorders (no controls excluded)
I9_CORATHER	Coronary atherosclerosis
I9_CORATHER_EXNONE	Coronary atherosclerosis (no controls excluded)
I9_CVD	Cardiovascular diseases
I9_CVD_HARD	Hard cardiovascular diseases
I9_DISCER	"Dissection of cerebral arteries, nonruptured"
I9_DISCER_EXNONE	"Dissection of cerebral arteries, nonruptured" (no controls excluded)
I9_DISVEINLYMPH	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I9_DOAAC	"Diseases of arteries, arterioles and capillaries"
I9_DVTANDPULM	DVT of lower extremities and pulmonary embolism
I9_ENDOCARD	Endocarditis
I9_ENDOCARD_EXNONE	Endocarditis (no controls excluded)
I9_E_DRONE	Dronedarone medication
I9_E_DRONE_EXNONE	Dronedarone medication (no controls excluded)
I9_HEARTFAIL	"Heart failure,strict"
I9_HEARTFAIL_ALLCAUSE	All-cause Heart Failure
I9_HEARTFAIL_AND_ANTIHYPERT	Heart failure and antihypertensive medication
I9_HEARTFAIL_AND_CHD	
I9_HEARTFAIL_AND_HYPERTCARDIOM	Heart failure and hypertrophic cardiomyopathy
I9_HEARTFAIL_AND_OVERWEIGHT	Heart failure and bmi 25plus
I9_HEARTFAIL_EXNONE	"Heart failure,strict" (no controls excluded)
I9_HEARTFAIL_NS	"Heart failure, not strict"
I9_HYPERTENSION	Hypertensive diseases
I9_HYPERTROCARDMYOP	Hypertrophic cardiomyopathy
I9_HYPOTE	Hypotension
I9_HYPOTE_EXNONE	Hypotension (no controls excluded)
I9_HYPTENS	Hypertension
I9_HYPTENSEC	Secondary hypertension
I9_HYPTENSEC_EXNONE	Secondary hypertension (no controls excluded)
I9_HYPTENSESS	"Hypertension, essential"
I9_HYPTENSESS_EXNONE	"Hypertension, essential" (no controls excluded)
I9_HYPTENSHD	Hypertensive Heart Disease
I9_HYPTENSHD_EXNONE	Hypertensive Heart Disease (no controls excluded)
I9_HYPTENSHR	Hypertensive heart and/or renal disease
I9_HYPTENSHR_EXNONE	Hypertensive heart and/or renal disease (no controls excluded)
I9_HYPTENSPREG	"Hypertension complicating pregnancy, childbirth, and the puerperium"
I9_HYPTENSPUL	"Hypertension, Pulmonary Arterial"
I9_HYPTENSPUL_EXNONE	"Hypertension, Pulmonary Arterial" (no controls excluded)
I9_HYPTENSRD	Hypertensive Renal Disease
I9_HYPTENSRD_EXNONE	Hypertensive Renal Disease (no controls excluded)
I9_HYPTENS_EXNONE	Hypertension (no controls excluded)
I9_ICH	Intracerebral haemmorrhage
I9_ICH_EXNONE	Intracerebral haemmorrhage (no controls excluded)
I9_IHD	"Ischaemic heart disease, wide definition"
I9_INTRACRA	Nontraumatic intracranial haemmorrhage
I9_INTRACRA_EXNONE	Nontraumatic intracranial haemmorrhage (no controls excluded)
I9_ISCHHEART	Ischemic heart diseases
I9_K_CARDIAC	Death due to cardiac causes
I9_LBBB	Left bundle-branch block
I9_LBBB_EXNONE	Left bundle-branch block (no controls excluded)
I9_LYMPHADE	Nonspesific lymphadenitis
I9_LYMPHADE_EXNONE	Nonspesific lymphadenitis (no controls excluded)
I9_LYMPHOTH	Other noninfective disordersof lymphatic vessels and lymph nodes
I9_LYMPHOTH_EXNONE	Other noninfective disordersof lymphatic vessels and lymph nodes (no controls excluded)
I9_MI	Myocardial infarction
I9_MI_COMPLICATIONS	Complications following myocardial infarction
I9_MI_COMPLICATIONS_EXNONE	Complications following myocardial infarction (no controls excluded)
I9_MI_EXNONE	Myocardial infarction (no controls excluded)
I9_MI_STRICT	"Myocardial infarction, strict"
I9_MI_STRICT_EXNONE	"Myocardial infarction, strict" (no controls excluded)
I9_MYOCARD	Myocarditis
I9_MYOCARD_EXNONE	Myocarditis (no controls excluded)
I9_NONISCHCARDMYOP	Non-ischemic cardiomyopathy
I9_NONISCHCARDMYOP_STRICT	Nonischemic cardiomyopathy
I9_NONRHEVALV	Non-rheumatic valve diseases
I9_NONRHEVALV_EXNONE	Non-rheumatic valve diseases (no controls excluded)
I9_OTH	Other CVD
I9_OTHANEUR	Other aneurysm
I9_OTHANEUR_EXNONE	Other aneurysm (no controls excluded)
I9_OTHARR	Other arrhytmias
I9_OTHARR_EXNONE	Other arrhytmias (no controls excluded)
I9_OTHHEART	Other heart diseases
I9_OTHILLHEART	Other or ill-defined heart diseases
I9_OTHILLHEART_EXNONE	Other or ill-defined heart diseases (no controls excluded)
I9_OTHINTRACRA	Other intracranial haemorrhages
I9_OTHINTRACRA_EXNONE	Other intracranial haemorrhages (no controls excluded)
I9_OTHOTH	Other other unspecified disorders of the circulatory system
I9_OTHOTH_EXNONE	Other other unspecified disorders of the circulatory system (no controls excluded)
I9_OTHPER	Other peripheral vascular diseases
I9_OTHPER_EXNONE	Other peripheral vascular diseases (no controls excluded)
I9_PAD	Peripheral artery disease
I9_PAD_EXNONE	Peripheral artery disease (no controls excluded)
I9_PAROXTAC	Paroxysmal tachycardia
I9_PAROXTAC_EXNONE	Paroxysmal tachycardia (no controls excluded)
I9_PERICAOTH	Other diseases of pericardium
I9_PERICAOTH_EXNONE	Other diseases of pericardium (no controls excluded)
I9_PERICARD	Pericarditis
I9_PERICARD_EXNONE	Pericarditis (no controls excluded)
I9_PERIPH	Peripheral artery operations in Hilmo
I9_PERIPH_EXNONE	Peripheral artery operations in Hilmo (no controls excluded)
I9_PHLETHROM	Phlebitis and thrombophlebitis (not including DVT)
I9_PHLETHROMBDVTLOW	DVT of lower extremities
I9_PHLETHROMBDVTLOW_EXNONE	DVT of lower extremities (no controls excluded)
I9_PHLETHROM_EXNONE	Phlebitis and thrombophlebitis (not including DVT) (no controls excluded)
I9_POSTAMI	Status post-ami
I9_POSTAMI_EXNONE	Status post-ami (no controls excluded)
I9_PROGVASC	Progressive vascular leukoencephalopathy
I9_PROGVASC_EXNONE	Progressive vascular leukoencephalopathy (no controls excluded)
I9_PULMEMB	Pulmonary embolism
I9_PULMEMB_EXNONE	Pulmonary embolism (no controls excluded)
I9_PULMHEART	"Pulmonary heart disease, diseases of pulmonary circulation"
I9_PULMOTHHD	Other pulmonary heart/vessel disease
I9_PULMOTHHD_EXNONE	Other pulmonary heart/vessel disease (no controls excluded)
I9_PVT	Portal vein thrombosis
I9_PVT_EXNONE	Portal vein thrombosis (no controls excluded)
I9_RBBB	Right bundle-branch block
I9_RBBB_EXNONE	Right bundle-branch block (no controls excluded)
I9_REVACS	Emergency coronary revascularization (for ACS)
I9_REVACS_EXNONE	Emergency coronary revascularization (for ACS) (no controls excluded)
I9_REVASC	Coronary revascularization (ANGIO or CABG)
I9_REVASC_EXNONE	Coronary revascularization (ANGIO or CABG) (no controls excluded)
I9_RHEUFEV	Rheumatic fever incl heart disease
I9_RHEUFEVHRT	Rheumatic fever with heart involvement
I9_RHEUFEVHRT_EXNONE	Rheumatic fever with heart involvement (no controls excluded)
I9_RHEUVALV	Rheumatic valve diseases
I9_RHEUVALV_EXNONE	Rheumatic valve diseases (no controls excluded)
I9_SAH	Subarachnoid haemmorrhage
I9_SAHANEUR	"Aneurysms, operations, SAH"
I9_SAHANEUR_EXNONE	"Aneurysms, operations, SAH" (no controls excluded)
I9_SAH_EXNONE	Subarachnoid haemmorrhage (no controls excluded)
I9_SECONDRIGHT	Secondary right heart disease
I9_SECONDRIGHT_EXNONE	Secondary right heart disease (no controls excluded)
I9_SEQULAE	Sequelae of cerebrovascular disease
I9_SEQULAE_EXNONE	Sequelae of cerebrovascular disease (no controls excluded)
I9_STENOSIS	"Occlusion and stenosis of arteries, not leading to stroke"
I9_STENOSIS_EXNONE	"Occlusion and stenosis of arteries, not leading to stroke" (no controls excluded)
I9_STR	"Stroke, excluding SAH"
I9_STR_EXH	"Ischaemic Stroke, excluding all haemorrhages"
I9_STR_EXH_EXNONE	"Ischaemic Stroke, excluding all haemorrhages" (no controls excluded)
I9_STR_EXNONE	"Stroke, excluding SAH" (no controls excluded)
I9_STR_SAH	"Stroke, including SAH"
I9_STR_SAH_EXNONE	"Stroke, including SAH" (no controls excluded)
I9_THROMBICV	Nonpyogenic thrombosis of intracranial venous system
I9_THROMBICV_EXNONE	Nonpyogenic thrombosis of intracranial venous system (no controls excluded)
I9_THROMBOTH	Other embolism and thrombosis
I9_THROMBOTH_EXNONE	Other embolism and thrombosis (no controls excluded)
I9_TIA	Transient ischemic attack
I9_UAP	Unstable angina pectoris
I9_UAP_EXNONE	Unstable angina pectoris (no controls excluded)
I9_VALVES	Valvular operations
I9_VALVES_EXNONE	Valvular operations (no controls excluded)
I9_VARICVE	Varicose veins
I9_VARICVEOES	Oesophageal varices
I9_VARICVEOES_EXNONE	Oesophageal varices (no controls excluded)
I9_VARICVESOTH	Varicose veins of other sites
I9_VARICVESOTH_EXNONE	Varicose veins of other sites (no controls excluded)
I9_VARICVE_EXNONE	Varicose veins (no controls excluded)
I9_VASCDEM	Vascular dementia
I9_VASCINT	Vascular diseases of the intestine
I9_VASCSYND	Vascular syndromes of brain in cerebrovascular disorders
I9_VEINSOTH	Other disorders of veins
I9_VEINSOTH_EXNONE	Other disorders of veins (no controls excluded)
I9_VHD	Valvular heart disease including rheumatic fever
I9_VHD_EXNONE	Valvular heart disease including rheumatic fever (no controls excluded)
I9_VTE	Venous thromboembolism
IBD_BACT_INTEST_INFECTIONS	"Bacterial intestinal infections, IBD co-morbidities"
IBD_COMORB	"IBD co-morbidities, not ICD-10 XI"
IBD_DRUGS	Inflammatory bowel disease treatment related agents
IBD_INFECTIONS	"Infections, IBD-co-morbidities"
IBD_PULM	"Respiratory diseases principally affecting the interstitium, IBD co-morbidites"
ICDMAIN_ANY_ENTRY	Any ICDMAIN event in hilmo or causes of death
ILD	Interstitial lung disease
ILD_COMORB	ILD-related co-morbidities
ILD_CVDMETABOCOMORB	"ILD Co-morbidites, CVD and metabolic diseases"
ILD_DIFF_DG	ILD differential diagnosis
ILD_ENDPOINTS	Interstitial lung disease endpoints
ILD_FOR_EXCL	Diagnoses used for exclusion with ILD
ILD_HOSPITAL	"ILD, hospital admissions"
ILD_HOSPITAL_MAIN	"ILD, hospital admissions 1, main diag only"
ILD_HOSPITAL_PNEUMONIA_SEPSIS	"ILD, hospital admissions 3, with pneumonia sepsis"
ILD_HOSPITAL_PULM_INFECT	"ILD, hospital admission 2, with pulmonary infections"
ILD_INSUFFICIENCY	ILD-related respiratory insufficiency
ILD_SYST_AUTO	ILD related to systemic autoimmune disease
ILD_SYST_AUTO_DISEASES	Autoimmune diseases related-to ILD
INCREASEDMUSCLETONE	Increased muscle tone
INFLUENZA	All influenza (not pneumonia)
INSULINS	Insulin medication
INSULIN_SHORTFAST	"Insulin, fast-acting or short human"
INV_VENT	Invasive ventilation
IPF	Idiopathic pulmonary fibrosis
J10_ABSCLUNGPNEUMO	Abscess of lung
J10_ACUTELOWERNAS	Unspecified acute lower respiratory infection
J10_ACUTEUPPERINFEC	Acute upper respiratory infections of multiple and unspecified sites
J10_ARDS	Adult respiratory distress syndrome
J10_ASBESTPNEUMOC	Pneumoconiosis due to asbestos and other mineral fibres
J10_ASTHMA	Asthma
J10_ASTHMACOPDKELA	Asthma/COPD (KELA code 203)
J10_ASTHMA_EXMORE	Asthma (more controls excluded)
J10_ASTHMA_INCLAVO	"Asthma, including avohilmo"
J10_ASTHMA_MAIN	Asthma (only as main-diagnosis)
J10_ASTHMA_MAIN_EXMORE	Asthma (only as main-diagnosis) (more controls excluded)
J10_BRONCH	"Bronchitis, not specified as acute or chronic"
J10_BRONCHIECTASIS	Bronchiectasis
J10_BRONCHIOLITIS	Acute bronchiolitis
J10_BRONCHITIS	Acute bronchitis
J10_BRONCHNAS	Unspecified chronic bronchitis
J10_CHEMGASRESP	"Respiratory conditions due to inhalation of chemicals, gases, fumes and vapours"
J10_CHRONLARYNGITIS	Chronic laryngitis and laryngotracheitis
J10_CHRONRHINITIS	"Chronic rhinitsi, nasopharyngitis and pharyngitis"
J10_CHRONSINUSITIS	Chronic sinusitis
J10_CHRONTONSADEN	Chronic diseases of tonsils and adenoids
J10_COLD	Acute nasopharyngitis(common cold)
J10_COPD	COPD
J10_COPDNAS	Other chronic obstructive pulmonary disease
J10_COPDNAS_INCLAVO	Other chronic obstructive pulmonary disease
J10_EMPHYSEMA	Emphysema
J10_EPIGLOTTITIS	Acute epiglottitis
J10_EXTERLUNG	Lung diseases due to external agents
J10_HYPERSPNEUMONI	Hypersensitivity pneumonitis due to organic dust
J10_INFLUENZA	All influenza
J10_INFLUPNEU	Influenza and pneumonia
J10_INTERSTITIUM	Other respiratory diseases principally affecting the interstitium
J10_LARYNGITIS	Acute laryngitis and tracheitis
J10_LOWCHRON	Chronic lower respiratory diseases
J10_LOWERINF	Other acute lower respiratory infections
J10_NASALPOLYP	Nasal polyp
J10_NECROTIC	Suppurative and necrotic conditions of lower respiratory tract
J10_OTHERINSTPULM	Other insterstitial pulmonary diseases
J10_PERITONSABSC	Peritonsillar abscess
J10_PHARYNGITIS	Acute pharyngitis
J10_PLEURA	Other diseases of pleura
J10_PLEUREFFUSION	Pleural effusion
J10_PLEUROTH	Other pleural conditions
J10_PLEURPLAGUE	Pleural plaque
J10_PNEUMOBACT	Bacterial pneumoniae
J10_PNEUMOBACTEROTH	"Bacterial pneumonia, not elsewhere classified"
J10_PNEUMONAS	"Pneumonia, organism unsepcified"
J10_PNEUMONIA	All pneumoniae
J10_PNEUMONISOLLIQ	Pneumonitis due to solids and liquids
J10_PNEUMONONBACT	"Pneumonia due to other infectious organisms, not elsewhere classified"
J10_PNEUMOPNEUMO	Pneumonia due to Streptococcus pneumoniae
J10_PNEUMOPROBBAC	Pneumonia (excl. viral and due to other infectious organisms not elsewhere classified)
J10_PNEUMOTHORAX	Pneumothorax
J10_PULMEOS	"Pulmonary eosinophilia, not elsewhere classified"
J10_PULMOEDEMA	Pulmonary oedema
J10_PYOTHORAX	Pyothorax
J10_RESPCONDEXT	Respiratory conditions due to other external agents
J10_RESPDISOTH	Other respiratory disorders and diseases
J10_RESPIRATORY	Diseases of the respiratory system
J10_RESPOTHER	Other diseases of the respiratory system
J10_SEPTDEV	Deviated nasal septum
J10_SIMPLBRONCH	Simple and mucoplurulent chronic bronchitis
J10_SINUSITIS	Acute sinusitis
J10_TONSILLITIS	Other and unspecified tonssillitis
J10_UPPERDIS	Other diseases of upper respiratory tract
J10_UPPERINFEC	Acute upper respiratory infections
J10_VASOALLERRHIN	Vasomotor and allergic rhinitis
J10_VIRALPNEUMO	Viral pneumonia
J10_VOCALLARYNX	"Diseases of vocal cords and larynx+other diseases of upper respiratory tract, no elsewhere classified"
JOINTPAIN	Pain in joint
JUVEN_ARTHR	Juvenile arthritis (FINNGEN)
JUVEN_ARTHR_COMORB	Juvenile arthritis related co-morbidities
K11_ABSCANAL	Abscess of anal and rectal regions
K11_ACHAL	Achalasia of cardia
K11_ACUTGASTR	Acute gastritis
K11_ACUTPANC	Acute pancreatitis
K11_ADHE	Intestinal adhesions without obstruction
K11_ALCGASTR	Alcoholic gastritis
K11_ALCOLIV	Alcoholic liver disease
K11_ANOMALI_DENTAL_ARCH_RELATIONS1	Anomalies of dental arch relationship
K11_ANOMALI_JAW_C_BASE_RELATIONS	Anomalies of jaw-cranial base relationship
K11_APPENDACUT	Acute appendicitis
K11_APPENDIX	Diseases of appendix
K11_APPENDOTH	Other appendicitis
K11_ASYMMETRY_JAW	Asymmetry of jaw
K11_ATROPHY_SALIVARY_GLAND	Atrophy of salivary gland
K11_ATTRITION	Excessive attrition of teeth
K11_BARRET	Barret oesophagus
K11_BILIAOTH	Other diseases of biliary tract
K11_CARIES	Dental caries
K11_CD_NOUC	"Crohn disease (strict definition, all UC cases excluded)"
K11_CD_STRICT	"Crohn disease (strict definition, require KELA)"
K11_CD_STRICT2	"Crohn disease (strict definition, require KELA, min 2 HDR)"
K11_CHOLANGI	"Cholangitis (primary sclerosing, PSC)"
K11_CHOLANGI_STRICT	"Cholangitis (primary sclerosing, PSC), with reimbursement 202"
K11_CHOLECYST	Chlocystitis
K11_CHOLELITH	Cholelithiasis
K11_CHRONGASTR	Chronic gastritis
K11_CHRONHEP	"Chronic hepatitis, not elsewhere classified"
K11_CHRONPANC	Chronic pancreatitis
K11_COELIAC	Coeliac disease
K11_CONSTIPATION	Constipation
K11_CROHN	Crohn disease
K11_CROSSBITE	Crossbite
K11_CROWDI_TEETH	Crowding of teeth
K11_DEEP_BITE	Deep bite
K11_DENTOFACIAL_ANOMALIES	Dentofacial anomalies [including malocclusion]
K11_DEPOSITS	Deposits [accretions] on teeth
K11_DIAHER	Diaphragmatic hernia
K11_DISLIVOTH	Other diseases of liver
K11_DISOESINOTH	Disorders of oesophagus in diseases classified elsewhere
K11_DISORD_TEETH	Other disorders of teeth and supporting structures
K11_DISTAL_BITE	Distal bite
K11_DIVERTIC	Diverticular disease of intestine
K11_DULC	Duodenal ulcer
K11_EMBED_TEETH	Embedded teeth
K11_EMBIMPACT_TEETH	Embedded and impacted teeth
K11_ENERCOLNONINF	Noninfective enteritis and colitis
K11_EROSION	Erosion of teeth
K11_ERUPTION	Tooth eruption problems
K11_FEMHER	Femoral hernia
K11_FIBROCHIRLIV	Fibrosis and chirrhosis of liver
K11_FISSANAL	Fissure and fistula of anal and rectal regions
K11_FISTULA	Colonic or urogenital fistula
K11_FUNCDYSP	Functional dyspepsia
K11_GALLBILPANC	"Disorders of gallbladder, biliary tract and pancreas"
K11_GALLBLAOTH	Other diseases of gallbladder
K11_GASTRODUOULC	Gastroduodenal ulcer
K11_GIBLEEDING	GI-bleeding
K11_GIDISEASES	Gastrointestinal diseases
K11_GINGIVA	Other disorders of gingiva and edentulous alveolar ridge
K11_GINGIVITIS_ACUTE	Acute gingivitis
K11_GINGIVITIS_CHRONIC	Chronic gingivitis
K11_GINGIVITIS_PERIODONTAL	Gingivitis and periodontal diseases
K11_GJULC	Gastrojejunal ulcer
K11_GULC	Gastric ulcer
K11_HAEMORR	Haemmorrhoids and perianal venous thrombosis
K11_HEPFAIL	"Hepatic failure, not elsewhere classified"
K11_HERING	Inguinal hernia
K11_HERNIA	Hernia
K11_HYPODONTIA	Hypodontia
K11_HYPO_ONLY	Tooth agenesis EXCLUDE clefts and syndromes
K11_IBD	Inflammatory bowel disease
K11_IBD_STRICT	"Inflammatory bowel disease, strict (require KELA)"
K11_IBD_STRICT_PSC	IBD (strict) with PSC
K11_IBS	Irritable bowel syndrome
K11_ILEUS	Paralytic ileus and intestinal obstruction
K11_IMPACT	Impaction of intestines
K11_IMPACTED_TEETH	Impacted teeth
K11_INTESTOTH	Other diseases of intestines
K11_INTUSS	Intussusception
